perda,delay_0_media,delay_50_media,delay_200_media,delay_500_media,delay_0_ic95,delay_50_ic95,delay_200_ic95,delay_500_ic95
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.084,0.8893,0.6593,1.243,0.3128,0.1989,0.2503,0.4597
5,5.48,5.1397,5.2407,6.5753,0.5168,0.5735,0.6953,1.1105
15,15.3367,15.0537,14.5513,15.0593,0.9318,0.8915,1.4136,2.1023
