perda,delay_0_media,delay_50_media,delay_200_media,delay_500_media,delay_0_ic95,delay_50_ic95,delay_200_ic95,delay_500_ic95
0,6.1907,56.2637,206.4843,506.092,0.0017,0.0835,0.3788,0.9059
1,6.1877,56.394,206.462,506.613,0.0021,0.1236,0.316,0.9714
5,6.18,56.3787,206.2593,505.8203,0.0017,0.1106,0.4433,0.9065
15,6.1673,56.4553,206.2407,505.4503,0.0024,0.1212,0.4832,1.1966
