perda,delay_0_media,delay_50_media,delay_200_media,delay_500_media,delay_0_ic95,delay_50_ic95,delay_200_ic95,delay_500_ic95
0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
1,2.0,2.0,3.8667,0.0,0.0,0.0,0.3359,0.0
5,2.0,2.0,4.2,0.0,0.0,0.0,0.409,0.0
15,2.0,2.0,4.9333,0.0,0.0,0.0,0.9949,0.0
