perda,delay_0_media,delay_50_media,delay_200_media,delay_500_media,delay_0_ic95,delay_50_ic95,delay_200_ic95,delay_500_ic95
0,0.0,0.0,0.0333,4.1333,0.0,0.0,0.0167,0.6181
1,0.0,0.0,0.0667,4.2,0.0,0.0,0.0333,0.6233
5,0.0,0.0,0.2667,4.7,0.0,0.0,0.1945,0.5646
15,0.0333,0.1,1.1667,7.4333,0.0167,0.05,0.3808,0.5775
