perda,delay_0_media,delay_50_media,delay_200_media,delay_500_media,delay_0_ic95,delay_50_ic95,delay_200_ic95,delay_500_ic95
0,24.0,24.0,22.7,14.0,0.0,0.0,0.174,0.0
1,24.0,24.0,22.2667,13.9667,0.0,0.0,0.1679,0.0682
5,23.9333,23.7667,21.5,13.4333,0.0947,0.1606,0.2351,0.1882
15,23.3333,22.1,19.6667,12.2333,0.2041,0.2998,0.3152,0.2122
