perda,delay_0_media,delay_50_media,delay_200_media,delay_500_media,delay_0_ic95,delay_50_ic95,delay_200_ic95,delay_500_ic95
0,6.3493,56.2497,205.9827,505.9207,0.0032,0.4133,0.6629,2.5402
1,10.6243,67.5603,214.5743,520.5687,4.8895,8.2883,6.8161,14.1265
5,60.1423,107.83,256.9573,555.8487,23.7669,18.8845,18.4403,29.3994
15,178.9077,251.2787,398.9723,697.6843,35.9455,34.5098,32.4125,52.1801
