perda,delay_0_media,delay_50_media,delay_200_media,delay_500_media,delay_0_ic95,delay_50_ic95,delay_200_ic95,delay_500_ic95
0,0.101,4.572,8.3803,16.4143,0.0028,0.088,0.2342,0.6606
1,0.1047,4.6527,8.3513,16.982,0.0021,0.0874,0.3009,0.7274
5,0.109,4.5597,8.2573,16.7693,0.0011,0.0828,0.2837,0.6188
15,0.1117,4.559,7.8803,16.1663,0.0017,0.0981,0.2735,0.6303
