perda,delay_0_media,delay_50_media,delay_200_media,delay_500_media,delay_0_ic95,delay_50_ic95,delay_200_ic95,delay_500_ic95
0,82870.1037,30788.2237,8322.466,953.784,697.5847,159.8586,35.6877,2.0753
1,82358.0813,30237.5613,8080.8493,946.5923,578.0959,301.6523,110.5515,6.5698
5,77812.092,29116.1263,7677.2287,928.599,1539.116,500.2277,230.2865,7.6575
15,67618.123,25618.3037,6343.164,851.7383,2258.6522,600.6822,298.9338,13.7288
